SDN,CRUISE,STATION,LON,LAT,date,lon_W
738952.106249935,1902601,1,-22.980907,11.4625025,2023-32-07,-22.980907
738952.836261918,1902601,1,-22.9974205,11.4504495,2023-04-07,-22.9974205
738954.554421444,1902601,2,-23.0158911666667,11.3935051666667,2023-18-09,-23.0158911666667
738955.5516322,1902601,3,-23.0287736666667,11.3679376666667,2023-14-10,-23.0287736666667
738956.550254884,1902601,4,-23.0543951666667,11.3345418333333,2023-12-11,-23.0543951666667
738957.54746553,1902601,5,-23.0882221666667,11.3164135,2023-08-12,-23.0882221666667
738958.550254883,1902601,6,-23.1051165,11.294174,2023-12-13,-23.1051165
738959.553021088,1902601,7,-23.1265381666667,11.275925,2023-16-14,-23.1265381666667
738962.554340534,1902601,8,-23.1716633333333,11.2404808333333,2023-18-17,-23.1716633333333
738965.551562759,1902601,9,-23.2125475,11.2273493333333,2023-14-20,-23.2125475
738968.547396084,1902601,10,-23.2208683333333,11.1937935,2023-08-23,-23.2208683333333
738977.551481766,1902601,11,-23.2582053333333,11.1192501666667,2023-14-01,-23.2582053333333
738986.547315099,1902601,12,-23.2324605,11.2109011666667,2023-08-10,-23.2324605
738995.551481765,1902601,13,-23.1442645,11.4004346666667,2023-14-19,-23.1442645
739004.551481767,1902601,14,-23.1339003333333,11.6178233333333,2023-14-28,-23.1339003333333
739013.552882233,1902601,15,-23.1911506666667,11.8373278333333,2023-16-07,-23.1911506666667
739022.544537315,1902601,16,-23.237891,12.0360135,2023-04-16,-23.237891
739031.538981759,1902601,17,-23.3720756666667,11.832777,2023-56-25,-23.3720756666667
739040.545926206,1902601,18,-23.8296736666667,11.6470546666667,2023-06-03,-23.8296736666667
739049.545926206,1902601,19,-24.146858,11.4375726666667,2023-06-12,-24.146858
739058.548703984,1902601,20,-24.4569313333333,10.946511,2023-10-21,-24.4569313333333
739067.551481767,1902601,21,-24.5752895,10.5973431666667,2023-14-30,-24.5752895
739076.548703988,1902601,22,-24.5418765,10.5184351666667,2023-10-09,-24.5418765
739085.56260446,1902601,23,-24.5124641666667,10.7724856666667,2023-30-18,-24.5124641666667
739094.55287066,1902601,24,-24.6341835,11.2311498333333,2023-16-27,-24.6341835
739103.558426221,1902601,25,-24.8443373333333,11.6098956666667,2023-24-05,-24.8443373333333
739112.55842622,1902601,26,-25.1034786666667,11.9436048333333,2023-24-14,-25.1034786666667
739121.55843779,1902601,27,-25.3115656666667,12.2184438333333,2023-24-23,-25.3115656666667
